0.918671,0.371438,-0.01535,0.938018,0.350882,0.00276,0.932315,0.381926,0.01332
0.916298,0.377316,-0.01531,0.935747,0.356729,0.00265,0.929967,0.387702,0.01338
0.913888,0.383179,-0.01527,0.933438,0.362562,0.00255,0.927583,0.393463,0.01345
0.91144,0.389027,-0.01523,0.931093,0.368381,0.00245,0.925163,0.399209,0.01351
0.908955,0.394859,-0.01519,0.928711,0.374186,0.00234,0.922708,0.40494,0.01357
0.906434,0.400675,-0.01515,0.926292,0.379975,0.00224,0.920217,0.410655,0.01363
0.903876,0.406475,-0.01511,0.923837,0.38575,0.00213,0.917691,0.416354,0.01369
0.901281,0.412258,-0.01506,0.921346,0.39151,0.00203,0.915129,0.422037,0.01375
0.89865,0.418024,-0.01502,0.918819,0.397254,0.00192,0.912531,0.427704,0.01382
0.895982,0.423774,-0.01497,0.916255,0.402983,0.00182,0.909899,0.433354,0.01388
0.893278,0.429506,-0.01493,0.913655,0.408695,0.00172,0.907232,0.438988,0.01393
0.890538,0.435221,-0.01488,0.91102,0.414392,0.00161,0.904529,0.444604,0.01399
0.887762,0.440918,-0.01484,0.908348,0.420072,0.00151,0.901792,0.450204,0.01405
0.88495,0.446598,-0.01479,0.905641,0.425736,0.0014,0.89902,0.455786,0.01411
0.882101,0.452259,-0.01474,0.902898,0.431383,0.0013,0.896213,0.461351,0.01417
0.879217,0.457902,-0.01469,0.900119,0.437013,0.00119,0.893372,0.466898,0.01422
0.876298,0.463527,-0.01464,0.897305,0.442626,0.00109,0.890496,0.472426,0.01428
0.873343,0.469132,-0.0146,0.894456,0.448221,0.00098,0.887586,0.477937,0.01433
0.870353,0.474719,-0.01455,0.891571,0.453799,0.00088,0.884642,0.483429,0.01439
0.867327,0.480286,-0.01449,0.888651,0.459359,0.00077,0.881664,0.488903,0.01444
0.864266,0.485834,-0.01444,0.885696,0.464901,0.00067,0.878652,0.494358,0.0145
0.86117,0.491363,-0.01439,0.882706,0.470424,0.00056,0.875606,0.499794,0.01455
0.85804,0.496871,-0.01434,0.879682,0.475929,0.00046,0.872526,0.50521,0.0146
0.854875,0.502359,-0.01429,0.876622,0.481415,0.00035,0.869413,0.510607,0.01465
